code2020,bachelorShare,collegeEnrollShare,students18_24,taxableIncomePerTaxpayerThousandYen,otherVacancyShare
12202,0.07572,,3976,2736.25,0.05421
12203,0.26718,,25340,3705.59,0.02447
12204,0.25589,,35466,3539.16,0.03784
12205,0.10752,,1715,2752.07,0.08521
12206,0.12422,,7096,3176.65,0.04346
12207,0.24052,,27571,3476.72,0.04189
12208,0.14644,,10147,3033.79,0.04199
12210,0.14046,,4857,3036.06,0.05351
12211,0.16743,,6820,3169.97,0.04118
12212,0.23961,,10592,3593.89,0.04501
12213,0.13001,,5070,3000.77,0.05914
12215,0.0744,,3201,2700.3,0.06345
12216,0.30426,,12587,3654.76,0.04264
12217,0.25027,,24962,3607.77,0.02824
12218,0.08983,,2582,2686.46,0.06472
12219,0.13213,,16102,3233.49,0.05122
12220,0.27903,,10616,3629.37,0.03062
12221,0.23156,,10906,3478.27,0.01883
12222,0.2888,,7473,3626.03,0.03637
12223,0.09768,,1517,2799.5,0.07402
12224,0.19455,,5833,3209.05,0.04043
12225,0.09683,,4418,3088.97,0.06402
12226,0.07908,,2165,2796.43,0.05222
12227,0.34002,,10749,4457.18,0.02174
12228,0.22291,,4965,3412.66,0.04309
12229,0.12265,,3325,3221.4,0.03369
12230,0.09237,,4603,2857.27,0.0564
12231,0.25148,,7990,3734.98,0.02846
12232,0.26956,,3920,3638.13,0.03472
12233,0.11848,,2675,2911.26,0.04653
12234,0.07579,,1434,2587.43,0.10101
12235,0.06966,,1854,2725.92,0.07415
12236,0.07784,,3764,2790.05,0.06601
12237,0.09179,,3194,2716.28,0.11338
12238,0.09832,,1730,2693.42,0.10996
12239,0.1555,,3130,3237.17,
12322,0.17825,,1460,3067.43,
12329,0.17119,,1423,3161.15,
12342,0.0945,,350,2759.48,
12347,0.07609,,786,2915.12,
12349,0.05146,,640,2717.16,
12403,0.07555,,825,2631.65,
12409,0.07376,,403,2830.84,
12410,0.0765,,1109,2640.61,
12421,0.13173,,592,2917.47,
12422,0.10006,,342,2771.53,
12423,0.09857,,763,2857.3,
12424,0.08381,,522,2756.31,
12426,0.08902,,366,2786.55,
12427,0.09395,,472,2817.14,
12441,0.07204,,539,2569.15,
12443,0.13977,,261,2650.86,
12463,0.0698,,350,2598.75,
13101,0.36714,,2750,7712.62,0.03758
13102,0.35823,,4328,5413.47,0.09642
13103,0.31287,,8973,9435.26,0.0173
13104,0.27179,,21237,4682.99,0.03131
13105,0.35594,,16226,5353.18,0.03844
13106,0.21406,,8214,3818.8,0.04947
13107,0.19724,,11544,3478.78,0.03919
13108,0.25699,,22092,3859.92,0.03452
13109,0.26644,,17238,4192.43,0.02544
13110,0.30067,,14159,5226.01,0.01187
13111,0.24719,,36255,3954.35,0.03189
13112,0.31076,,58514,4971.13,0.02311
13113,0.29267,,9581,6443.49,0.06297
13114,0.27653,,17511,3854.03,0.02389
13115,0.36238,,32939,4353.85,0.02729
13116,0.2272,,17348,4023.57,0.02217
13117,0.21616,,17921,3429.43,0.03285
13118,0.19623,,10869,3419.56,0.0038
13119,0.21105,,33344,3501.15,0.03185
13120,0.25881,,45988,3962.09,0.02198
13121,0.1375,,36195,3235.05,0.0189
13122,0.16406,,24307,3302.7,0.03264
13123,0.17481,,39625,3468.24,0.02193
13201,0.22809,,55809,3505.71,0.01928
13202,0.20949,,10958,3496.44,0.01663
13203,0.3808,,10112,4696.05,0.0165
13204,0.29062,,13265,4094.42,0.04693
13205,0.15071,,8396,3176.83,0.04542
13206,0.28092,,17575,3744.01,0.03728
13207,0.21572,,6656,3276.76,0.02091
13208,0.30323,,16465,3913.54,0.03343
13209,0.26822,,30268,3805.09,0.00565
13210,0.3584,,10930,4104.44,0.00987
13211,0.28561,,17307,3729.5,0.01798
13212,0.28251,,15227,3591.88,0.01949
13213,0.223,,9861,3443.9,0.02552
13214,0.35199,,9974,4080.94,0.01774
13215,0.31273,,6367,4291.2,0.02523
13218,0.16509,,3559,3137.86,0.02849
13219,0.30066,,5325,3674.04,0.02028
13220,0.20539,,5009,3393.61,0.03563
13221,0.22707,,5007,3418.71,0.02397
13222,0.25641,,7644,3490.19,0.04753
13223,0.13,,4224,3080.48,0.02031
13224,0.28453,,11449,3651.43,0.02229
13225,0.28359,,5698,3816.32,0.01405
13227,0.19045,,3497,3259.24,0.02403
13228,0.1525,,4943,3183.4,0.03116
13229,0.2704,,14928,3755.46,0.03045
13303,0.10495,,2025,3100.87,
13305,0.14519,,906,3060.22,
13307,0.08627,,91,2644.76,
13308,0.08602,,235,2805.51,
13361,0.12429,,382,2885.44,
13362,0.2363,,1,3386.16,
13363,0.11691,,74,3035.78,
13364,0.0957,,54,2976.85,
13381,0.13433,,60,3242.55,
13382,0.23158,,2,3124.5,
13401,0.10746,,254,2938.2,
13402,0.22086,,2,3724.91,
13421,0.20968,,65,3940.05,
14100,0.27869,,233731,3882.47,0.03063
14130,0.26318,,88772,3838.24,0.02114
14150,0.20428,,52258,3314.62,
14201,0.16211,,25083,3226.93,0.04361
14203,0.19601,,17810,3310.53,0.00392
14204,0.34959,,9368,4384.03,0.03856
14205,0.27582,,27962,3779.39,0.02752
14206,0.18739,,11605,3279.31,0.02819
14207,0.25265,,14549,3624.06,0.0248
14208,0.33351,,3156,4144.88,0.04484
14210,0.11976,,2514,3001.92,0.05767
14211,0.19132,,14844,3250.17,0.02318
14212,0.20833,,17047,3366.96,0.03377
14213,0.20984,,13114,3388.68,0.02575
14214,0.23404,,7074,3385.47,0.02272
14215,0.23219,,7481,3494.12,0.02114
14216,0.19883,,8108,3202.47,0.02483
14217,0.17209,,2441,3272,0.03036
14218,0.14732,,4481,3154.74,0.02041
14301,0.34245,,1741,4315.05,
14321,0.13916,,2784,3153.07,
14341,0.27704,,1820,3807.75,
14342,0.25768,,1806,3534.66,
14361,0.13934,,534,3131.59,
14362,0.16156,,982,3157.41,
