year,region,gross_index,net_index
2096,china,0.455484,0.411694
2096,india,1.268899,1.235471
2096,latam,0.886523,0.862665
2096,seasia,1.002073,0.974796
2096,russia,0.740337,0.705759
2096,mena,1.952921,1.906287
2096,ssa,3.805557,3.869768
2096,world,1.189301,1.147174
2097,us,1.492558,1.431006
2097,oecd-ex-us,1.434793,1.383016
2097,china,0.449663,0.406320
2097,india,1.260232,1.226533
2097,latam,0.879961,0.855792
2097,seasia,0.994810,0.966964
2097,russia,0.735152,0.700429
2097,mena,1.949061,1.901100
2097,ssa,3.815816,3.875674
2097,world,1.186820,1.144430
2098,us,1.493590,1.431755
2098,oecd-ex-us,1.436253,1.383906
2098,china,0.443911,0.401020
2098,india,1.251588,1.217646
2098,latam,0.873403,0.848950
2098,seasia,0.987524,0.959161
2098,russia,0.729967,0.695119
2098,mena,1.945097,1.895861
2098,ssa,3.825614,3.881168
2098,world,1.184314,1.141676
2099,us,1.494591,1.432469
2099,oecd-ex-us,1.437643,1.384740
2099,china,0.438229,0.395793
2099,india,1.242970,1.208810
2099,latam,0.866852,0.842136
2099,seasia,0.980221,0.951382
2099,russia,0.724785,0.689829
2099,mena,1.941033,1.890574
2099,ssa,3.834958,3.886258
2099,world,1.181785,1.138913
2100,us,1.495517,1.433134
2100,oecd-ex-us,1.438923,1.385507
2100,china,0.432603,0.390634
2100,india,1.234345,1.200013
2100,latam,0.860286,0.835343
2100,seasia,0.972877,0.943620
2100,russia,0.719587,0.684553
2100,mena,1.936822,1.885227
2100,ssa,3.843755,3.890903
2100,world,1.179200,1.136130
