region,year,stock,head,imm_head,investment,depreciation,writeoff,mig_in,mig_out,revaluation,charge_own,charge_imm,gdppc,net_own,net_total
china,2087,9595300700138.936,144091450.8813776,0.0,300069545585.5908,530129209873.96655,59338254351.70055,0.0,5652729156.145571,2547582906.9517093,589467464225.6671,0.0,106725.2019331531,-289397918640.0763,-295050647796.22186
india,2087,16262565799638.855,692579310.7182096,0.0,870863605681.8022,872593734310.7496,194499340280.27927,0.0,29620479179.624992,5422843387.227288,1067093074591.0289,0.0,69812.72795628989,-196229468909.22668,-225849948088.85168
latam,2087,7689366877602.412,175199573.0804431,0.0,321565586234.1956,399678074204.0926,56381921314.236145,0.0,7454774610.887005,2067137828.259962,456059995518.32874,0.0,87573.86606696805,-134494409284.13312,-141949183895.0201
seasia,2087,9246312520288.25,229865416.53797343,0.0,392464944381.0957,477332482686.4422,67152250338.99232,0.0,3985098736.976266,3704708977.0918365,544484733025.4345,0.0,83992.07536276645,-152019788644.3388,-156004887381.31506
russia,2087,8186446576998.594,108319185.04645069,6731171.919518703,334587443565.45337,396188360332.3604,46925397813.021385,27041885718.610172,0.0,2604469882.3919125,415975308517.52313,27138449627.858627,100727.72182228231,-81387864952.06976,-81484428861.31822
mena,2087,15513452103340.588,246096260.50823584,0.0,904341609691.634,854664726570.7461,214647659495.2673,0.0,13497504692.445137,3776583926.7198815,1069312386066.0134,0.0,101113.19488057579,-164970776374.3794,-178468281066.82452
ssa,2087,16240628862467.37,1370836362.478392,0.0,808969269319.2048,762577194512.0261,109875755600.29045,0.0,10693758035.333336,10847400259.674036,872452950112.3165,0.0,50574.525766229104,-63483680793.111694,-74177438828.44504
us,2088,34061653228991.727,145386875.1824305,35765004.39581441,1246194820245.2239,1651228736624.9282,185378812391.91064,465037276087.9645,0.0,533998942024.1875,1388860036523.9192,447747512492.91943,157405.9249237484,-142665216278.6953,-125375452683.65027
oecd-ex-us,2088,29174971083263.527,200566215.78145698,35220604.7308444,1096555911784.3171,1450198626180.592,155838322365.34824,282492145637.6557,0.0,4258636996.100795,1320491319806.9392,285545628739.00165,134665.09407535597,-223935408022.62207,-226988891123.96802
china,2088,9312057950384.15,139360135.61029884,0.0,293652525750.11743,516015678763.8293,57672233395.37847,0.0,5628258926.321291,2420895580.6242285,573687912159.2078,0.0,108944.36641868131,-280035386409.09033,-285663645335.4116
india,2088,16042423526781.504,683006111.7818071,0.0,857430323705.0636,861327015836.1635,191516526177.93912,0.0,29956419996.957886,5227365448.653341,1052843542014.1025,0.0,71719.52202098836,-195413218309.03894,-225369638305.99683
latam,2088,7551986707037.825,175013967.01191828,0.0,315870874773.51447,392811305918.46716,55306080697.41973,0.0,7160844064.8331375,2027185342.6217213,448117386615.8869,0.0,89660.40616660006,-132246511842.37244,-139407355907.20557
seasia,2088,9096757167562.057,226104585.14671728,0.0,385852426141.87964,469846612193.9676,65981226720.85707,0.0,3277923509.2213783,3697983555.969483,535827838914.82465,0.0,86047.15878400164,-149975412772.945,-153253336282.16638
russia,2088,8106045760479.795,109004043.27877934,6829105.138822683,331270795117.52625,392904448559.00287,46444756087.15514,25194077144.590954,0.0,2483515865.2405286,412213739119.09406,27135465527.063717,102911.42064349535,-80942944001.56781,-82884332384.04057
mena,2088,15341119602505.064,243633432.42740893,0.0,893544809819.0741,845533658236.1796,212085777390.74585,0.0,12021214258.63556,3763339230.9657116,1057619435626.9254,0.0,103299.33189164315,-164074625807.85132,-176095840066.48688
ssa,2088,16171977550292.676,1367517094.698518,0.0,801977864363.9114,760442090147.2732,109257308185.5084,0.0,11838281311.756435,10908503105.938099,869699398332.7816,0.0,52207.70938325272,-67721533968.87024,-79559815280.62668
us,2089,33931781739329.074,144666593.26021695,35809740.32460766,1241616981782.19,1645816928364.759,184480362653.1976,453059779090.96857,0.0,5749040482.115752,1381288441472.6528,449008849545.3031,159780.78379441838,-139671459690.4629,-135620530144.79742
oecd-ex-us,2089,28939619497241.207,198613764.95931956,35103331.185120165,1090539361113.9314,1439828469384.3306,154441698896.869,264081513550.7478,0.0,4297707594.1865015,1309080900936.7617,285189267344.43866,137017.17244994192,-218541539822.83032,-239649293616.52118
china,2089,9037234848625.129,134982837.44633052,0.0,286819473892.5613,502218027049.91895,56020393980.244286,0.0,5629331360.9422,2225176739.523706,558238421030.1632,0.0,111200.18085960185,-271418947137.60193,-277048278498.5441
india,2089,15822132878453.936,673492473.402841,0.0,843941761888.9106,850038880722.802,188565673835.00378,0.0,30530023606.324654,4902167947.646863,1038604554557.8058,0.0,73665.07128618739,-194662792668.89514,-225192816275.2198
latam,2089,7416475804507.516,171721539.72067377,0.0,310217685913.90875,386033067764.8847,54251210542.902176,0.0,7397049217.076563,1952739080.6417663,440284278307.78687,0.0,91784.73938678707,-130066592393.87811,-137463641610.95468
seasia,2089,8948212333182.139,222397729.4096993,0.0,379185650613.49646,462442990062.703,64826244062.6997,0.0,4122628425.3484726,3661377557.3418903,527269234125.4027,0.0,88140.24929296771,-148083583511.90625,-152206211937.25473
russia,2089,8025916001201.615,107965235.76175253,6807084.5647165,327765172031.1977,389549508129.7949,45940181116.635056,25231237902.742336,0.0,2363520034.3064857,408414884296.38654,27074804950.04325,105132.1164927191,-80649712265.18884,-82493279312.48975
