region,year,pop,pop2564,entrants,gdppc,gdp,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,tert_stock
china,2010,1382449984.9999998,779504878.0,25153421.4,10299.082722022617,14237966754573.924,52408503477633.58,119718456002047.61,18585238551593.516,42454867362813.95,1957576179606.8484,4471755195775.361,0.08900000000000001
china,2015,1427652015.9999998,835781963.0,20376762.0,13986.473601947611,19967817234551.285,78774334128326.23,132505652718492.02,28261405097287.89,47538274624542.57,2259310752867.216,3800367839541.3804,0.12199999999999997
china,2020,1457942858.0000005,846174835.0,17030907.2,17894.76455060926,26089544172152.36,105248905718688.25,138372406972960.67,37016239348780.3,48665837433675.75,2536646314326.7427,3334969173842.498,0.155
china,2025,1444023814.0,841674094.0,16067127.0,23526.530999766437,33972871024471.965,138559910918470.39,138559910918470.39,45538458630692.28,45538458630692.28,3206430913353.4673,3206430913353.4673,0.15499999999999997
india,1925,386681582.0,150524368.0907359,6984408.168614837,1126.1786389268757,435472537714.8511,660301009217.8071,4668713508073.247,,,31489749793.65681,222650909471.80023,0.0029734571783407294
india,1930,404593262.0,157496886.14938882,7307936.595954351,1171.329765248884,473912130599.74023,727019659580.8715,4942304787745.781,,,34485627453.56158,234434488017.0268,0.003973247958501809
india,1935,432883016.0,168509299.31442127,7818918.235948014,1096.9204086254458,474838214797.7354,734827663814.8365,5334244645650.173,,,34782236237.26027,252490436259.75543,0.0049542656846585575
india,1940,459914817.0,179032026.41932777,8307178.190663857,1107.0652984979663,509155734165.74255,793702663297.9364,5708830502742.599,,,37474161969.96132,269538769127.86224,0.005939707559754348
india,1945,458021156.0,178294876.94370812,8272974.075514181,1069.496583143508,489852061349.4396,769564362479.5598,5729650025676.347,,,36408230831.43329,271070791331.88535,0.006943418837791471
india,1950,447563199.99999994,174223886.0,8084078.0,993.5496662583924,444676267989.5381,701841613602.3112,5624864721360.735,54310104076.443855,435264855363.9609,33212099311.60048,266176245636.53476,0.006920619153452009
india,1955,500051292.00000006,193229523.00000003,8833147.6,1063.7645313014532,531936828261.06616,838789273821.625,6278702585460.798,84399124109.42084,631764157333.679,39924682649.39206,298853616752.0756,0.007917826170745811
