region,year,gdppc,pop,gdp
russia,1958,5114.728573339149,116259.155,594634021.990765
russia,1959,5326.70195654247,117956.865,628321063.583116
russia,1960,5557.0,119631.633,664792984.581
russia,1961,5874.0,121324.346,712659208.404
russia,1962,6229.0,122877.56,765404321.24
russia,1963,6405.0,124276.517,795991091.385
russia,1964,6754.0,125521.51,847772278.54
russia,1965,7068.0,126541.293,894393858.924
russia,1966,7517.0,127414.772,957776841.124
russia,1967,7943.0,128183.863,1018164423.809
russia,1968,8391.0,128876.498,1081402694.7180002
russia,1969,8563.0,129572.617,1109530319.371
russia,1970,9234.0,130245.476,1202686725.384
russia,1971,9567.0,130977.408,1253060862.336
russia,1972,9785.0,131768.681,1289356543.585
russia,1973,9573.612102366029,242634.63799999998,2322889906.81
russia,1974,10801.0,133378.674,1440623057.874
russia,1975,11164.0,134293.372,1499251205.0080001
russia,1976,11426.0,135269.263,1545586599.038
russia,1977,11692.0,136263.686,1593195016.712
russia,1978,11829.0,137245.87,1623481396.23
russia,1979,11867.0,138163.68,1639588390.56
russia,1980,10582.093765969048,258484.408,2735306242.4969997
russia,1981,10682.56745435768,260630.708,2784205118.887
russia,1982,10745.745676949744,262841.728,2824430362.3780003
russia,1983,10962.388508080168,265109.037,2906228260.597
russia,1984,10962.99759088772,267660.833,2934365067.354
russia,1985,10986.875236584609,270079.91000000003,2967334275.078
russia,1986,11095.177444948644,272499.783,3023433446.095
russia,1987,11043.714644590013,274853.601,3035404738.4820004
russia,1988,11226.731398048367,277113.195,3111075407.12
russia,1989,11303.80840593181,278542.35,3148589357.338
russia,1990,10871.64989589697,280433.72000000003,3048777222.8440003
russia,1991,10290.158364552553,282072.27,2902568328.548826
russia,1992,8934.262619340641,283188.03,2530076230.6737165
russia,1993,8176.820663796508,283571.18,2318710684.281159
russia,1994,7128.155991812701,283489.82,2020759659.0509043
russia,1995,6838.792864008271,283331.57,1937645919.06426
russia,1996,6716.83037446971,283145.8,1901842309.8435254
russia,1997,6943.2864740550485,282882.85,1964136666.1471431
russia,1998,6842.394471931589,282603.01999999996,1933681341.799172
russia,1999,7314.587988519785,282157.01,2063862276.2226567
russia,2000,8103.123169820875,281572.13,2281613650.5788155
russia,2001,8762.814936008688,281005.84,2462402171.857668
russia,2002,9400.974841698091,280434.85,2636360969.5853777
russia,2003,10319.59608264716,279916.67,2888626971.1996374
russia,2004,11362.7715717217,279557.26,3176545286.596412
russia,2005,12339.199934141616,279334.65,3446766094.8834715
russia,2006,13645.100297054852,279244.22,3810315389.27285
russia,2007,15110.65696269401,279398.61000000004,4221896551.563529
russia,2008,16166.372136493428,279792.93,4523236627.539856
russia,2009,15354.006331648763,280416.49,4305516562.958722
russia,2010,16297.764926861957,281099.3,4581290312.505447
russia,2011,17318.686115963697,281825.61,4880849279.03
russia,2012,17915.691000218776,282719.76,5065119859.816012
russia,2013,18270.0891749894,283673.18,5182734295.15282
russia,2014,18246.507292989256,286566.49,5228837549.711332
russia,2015,17906.427891485884,287122.96,5141346579.229986
russia,2016,17967.061871459966,287923.45,5173138440.39421
russia,2017,18338.970077283146,288655.38,5293642376.466796
russia,2018,18876.972253601743,289285.89,5460841718.888486
russia,2019,19342.382379848004,289937.64999999997,5608084892.614537
russia,2020,18832.805288485048,290275.0,5466692555.114997
russia,2021,19857.94651579505,290170.11000000004,5762182524.862368
russia,2022,19425.958013507512,288417.5,5602786245.360803
seasia,1900,1140.1264520034456,47547.0,54209592.413407825
seasia,1901,1113.0575857569615,58353.0,64950249.301675975
seasia,1902,1082.2245409318061,56014.0,60619725.435754195
seasia,1903,1144.3662365759394,56711.0,64898153.6424581
seasia,1904,1116.7378659299602,57422.0,64125321.73743017
seasia,1905,1126.5786634202873,58147.0,65507169.54189944
seasia,1906,1101.8678353992887,70121.0,77264074.48603351
seasia,1907,1162.763910226209,59561.0,69255381.25698324
seasia,1908,1162.5964601971639,60289.0,70091777.98882681
seasia,1909,1196.0545075578218,61033.0,72998794.75977653
seasia,1910,1273.592804355712,61788.0,78692752.19553073
seasia,1911,1264.3822839860875,74677.0,94420275.82122906
seasia,1912,1324.349560562048,63337.0,83880328.11731844
seasia,1913,1304.7188476789358,109679.0,143100258.494578
seasia,1914,1379.2317361574271,65218.0,89950735.36871508
seasia,1915,1369.6015056367671,66026.0,90429309.01117319
seasia,1916,1374.7666489041253,79499.0,109292573.82122906
seasia,1917,1432.7514183155797,67681.0,96970048.74301675
seasia,1918,1488.2886477427191,68007.0,101214046.0670391
seasia,1919,1563.8854558224227,68813.0,107615649.87150837
seasia,1920,1530.6127306352082,69654.0,106613299.1396648
seasia,1921,1466.0770939851898,83781.0,122829405.01117319
seasia,1922,1593.288459499375,71497.0,113915344.98882681
seasia,1923,1558.6148366969437,72442.0,112909176.0
seasia,1924,1626.4018282493023,73395.0,119369762.18435754
seasia,1925,1618.2516564633393,74376.0,120359085.20111732
seasia,1926,1639.5698978376108,89303.0,146418510.58659217
seasia,1927,1754.799616494394,76466.0,134182507.47486034
seasia,1928,1822.5498832402452,77567.0,141369726.7932961
seasia,1929,1804.28411164281,90858.0,163933645.81564245
seasia,1930,1875.9407969119288,80008.0,150090271.2793296
seasia,1931,1707.0642288401314,96128.0,164096670.18994415
seasia,1932,1678.844008284141,82999.0,139342373.84357542
seasia,1933,1670.4229944982965,84501.0,141152413.45810056
seasia,1934,1665.6995611558625,86129.0,143465037.50279328
seasia,1935,1640.451844475959,87843.0,144102211.37430167
seasia,1936,1679.8950921169687,105310.0,176909752.150838
seasia,1937,1891.115545993856,91434.0,172912258.83240223
seasia,1938,1680.3738726045117,124460.0,209139332.18435752
seasia,1939,1838.832613969314,95223.0,175099158.0
seasia,1940,1890.7022563410965,96395.0,182254244.0
seasia,1941,1819.2939045130759,81142.0,147621146.0
seasia,1942,2667.0,5592.0,14913864.0
seasia,1946,1030.0,18775.0,19338250.0
seasia,1947,1466.1619964973731,25124.0,36835854.0
seasia,1948,1653.128947368421,25840.0,42716852.0
seasia,1949,1321.578725498389,107697.0,142330064.0
seasia,1950,1264.5905018794585,183212.2889347421,231688520.4144699
seasia,1951,1325.6526680241957,186724.14657466114,247531363.0912405
seasia,1952,1358.2260505243928,190341.2840949604,258526490.5480395
seasia,1953,1412.346416515128,194119.6653328822,274164213.7080121
seasia,1954,1452.536619193755,198041.8671861411,287663064.22137606
seasia,1955,1488.7474065451177,202145.30622318457,300943300.3850347
seasia,1956,1509.6855224541305,206454.5916815023,311681508.105743
seasia,1957,1549.810405836303,210961.45809175886,326950262.98100704
seasia,1958,1513.861126541041,215658.6067702217,326477181.3934392
seasia,1959,1577.8628417420719,220583.69173572707,348050810.6840915
seasia,1960,1618.448373238,225597.8199928225,365118424.7734227
seasia,1961,1670.961584243042,230956.558,385919536.047
seasia,1962,1699.2283380604163,236802.43258352167,402381403.9675613
seasia,1963,1688.9141488417577,242799.37304845965,410067296.47145164
seasia,1964,1714.1394732356243,248960.82420080167,426753576.05186903
seasia,1965,1730.7812062855896,255230.5243381149,441748194.79482603
seasia,1966,1740.1013717727808,261572.64776090498,455162923.1869891
seasia,1967,1711.5241748897754,267976.93529659166,458649003.07298976
seasia,1968,1788.3493000577964,274430.82783642143,490778178.8755459
seasia,1969,1896.0001557429564,280962.64688564755,532705222.25314105
seasia,1970,1979.2185357314686,287475.87512731523,568977580.6276073
seasia,1971,2038.8791122326852,294086.745,599607321.565
seasia,1972,2145.786895200484,301151.0857153568,646206053.2034104
seasia,1973,2337.888153531163,308531.19937362336,721311436.0103555
seasia,1974,2372.180899839033,315859.27880137844,749275348.209562
seasia,1975,2356.6525919803375,322865.997080617,760882988.8823521
seasia,1976,2524.0543130521296,329991.5211408294,832916522.2061435
seasia,1977,2649.9913776832914,337326.2714026981,893911710.6832039
seasia,1978,2746.582897157268,344572.9464751767,946398161.611807
seasia,1979,2830.624732244509,352134.1339077831,996759588.5068705
seasia,1980,2944.6476512822405,360246.797,1060799884.6680001
seasia,1981,3052.523721279761,368135.5728859295,1123742568.8812141
seasia,1982,3033.570151368187,376260.0271816136,1141411187.6111257
seasia,1983,3098.751275336851,384475.4602126701,1191393822.6697342
seasia,1984,3165.5333287125095,392789.65350988583,1243388739.358982
seasia,1985,3137.7784551705904,401180.322,1258814971.01
seasia,1986,3212.046870954542,409186.3270479714,1314325661.4318185
seasia,1987,3320.6683324265114,417324.35898971546,1385795783.2473412
seasia,1988,3491.7693024292203,425477.07140067907,1485667776.8043766
seasia,1989,3726.7320707440717,433998.74032159423,1617397024.2190135
seasia,1990,3888.306375660278,462814.507,1799564598.3161683
seasia,1991,4075.8956894411904,471429.13,1921495958.8440106
seasia,1992,4265.826721440211,479882.33999999997,2047094909.1192565
seasia,1993,4504.266928824036,488474.07,2200217599.089077
seasia,1994,4762.324962613578,497152.01,2367599427.436515
seasia,1995,5047.640345023048,505859.5,2553396821.113187
seasia,1996,5326.904998723063,514590.09,2741172522.7143507
seasia,1997,5439.656086918755,522988.63,2844878284.568801
seasia,1998,4961.479791156616,531124.88,2635165358.7004824
seasia,1999,5053.937232533638,539137.6599999999,2724767893.335061
seasia,2000,5269.3301198494455,547475.15,2884827297.7640934
seasia,2001,5383.224566694364,555858.23,2992309679.3352456
seasia,2002,5591.466371897213,564043.92,3153832610.953082
seasia,2003,5838.96261927766,572015.0,3339974202.666111
seasia,2004,6136.737095131226,581019.85,3565566066.5025806
seasia,2005,6421.387748034613,589189.92,3783416933.553494
seasia,2006,6730.442637723052,597444.0,4021062571.251811
seasia,2007,7109.831435508754,605689.83,4306352593.501953
seasia,2008,7407.853832665279,613823.33,4547113507.719864
seasia,2009,7515.11427628601,621722.84,4672318190.777082
seasia,2010,7984.731927407779,629445.41,5025952861.78728
seasia,2011,8301.87140371692,637169.2,5289696760.809186
seasia,2012,8709.337879821385,644763.1,5615459690.3410635
seasia,2013,9055.855021811714,652271.13,5906872788.193301
seasia,2014,9383.377947268411,659729.75,6190493587.306902
seasia,2015,9736.745844914658,667120.75,6495585190.61885
seasia,2016,10123.421929326543,674237.3200000001,6825588870.858358
seasia,2017,10558.728208156406,681098.879,7191537946.241007
seasia,2018,11004.218464021098,688002.764,7570932718.906349
seasia,2019,11410.697984684217,694894.012142666,7929225703.925448
seasia,2020,10912.10960111754,702152.6525045899,7661966700.845483
seasia,2021,11094.72705862984,709355.3294191476,7870103767.489901
seasia,2022,11621.915779587514,714912.4115670109,8308651837.013607
ssa,1950,1326.6231112818605,178875.20730498256,237299984.04612374
ssa,1951,1372.7014701735927,182471.90353764762,250479450.25150287
ssa,1952,1396.4465966790551,186216.72353600594,260041709.82658002
ssa,1953,1423.7219804005774,190075.02963142656,270613997.6115531
ssa,1954,1466.049839090867,194300.5536008136,284854295.3417392
ssa,1955,1488.1326681855926,198657.08160649706,295628092.9050395
ssa,1956,1507.5777390967878,203195.24403113645,306332626.59168077
ssa,1957,1523.6195459160167,207879.64667687195,316729492.8749976
ssa,1958,1513.3996640797027,212739.20828384475,321959446.35335255
ssa,1959,1552.7314467829103,217781.03273103767,338155458.0343405
ssa,1960,1578.2006747554337,223033.5069335784,351991631.13564414
ssa,1961,1583.7517210419876,228258.5357384758,361504848.81833506
ssa,1962,1632.4831047457426,233961.2295201205,381937754.3571376
ssa,1963,1682.4362491545116,239928.44075936935,403664305.93668383
ssa,1964,1722.5627759740546,245954.0755164499,423671335.0837482
ssa,1965,1761.9371477609852,252236.29122860654,444424491.52914023
ssa,1966,1769.5904808751209,258776.7406477389,457928856.9221287
ssa,1967,1746.139147589844,265627.31866003864,463822259.78161573
ssa,1968,1763.1637405821264,272741.36744490033,480887689.63563466
ssa,1969,1856.1814746332348,280081.75387267926,519882562.9212525
ssa,1970,1968.3626905939352,287210.3856503444,565334207.4652337
ssa,1971,2031.7916709011015,294993.6271774897,599365594.6681284
ssa,1972,2033.913704663863,302897.0540942274,616066469.4245605
ssa,1973,2063.5758383977195,311164.71878006076,642111995.4363545
ssa,1974,2114.0166661244552,319516.2025321227,675462577.2497042
ssa,1975,2030.2680160514037,327925.30418668943,665776256.744163
ssa,1976,2068.94318781711,337105.3406378706,697451798.0894887
ssa,1977,2055.0893036765024,346646.53460889607,712389585.4312688
ssa,1978,2011.4236483331026,356158.5396734584,716385709.2549777
ssa,1979,2024.913304033659,365902.08797400555,740920005.9122581
ssa,1980,2036.6299312713475,375917.04549528344,765603906.5307871
ssa,1981,1999.8570248667015,387423.92109042685,774792450.1940928
ssa,1982,1958.605903667586,399425.4723040074,782317088.1298428
ssa,1983,1876.4867129697648,411661.9537830496,772478186.509066
ssa,1984,1840.790548239875,423220.09871197987,779059557.5341594
ssa,1985,1827.6801813048705,434980.240884958,795004765.5246563
ssa,1986,1823.3476242252364,447017.5496255837,815068387.0967947
ssa,1987,1807.1288002658393,459483.3199246179,830345540.6775396
ssa,1988,1842.2104202289672,472317.6581886368,870108511.5732503
ssa,1989,1848.4484366382412,485698.9816770712,897789523.357768
ssa,1990,1812.681322317059,499494.4121138715,905424191.4405546
ssa,1991,1783.388641385289,515022.002,918484388.4303116
ssa,1992,1740.4119144136043,530209.4890000001,922782911.790749
ssa,1993,1729.4748519511782,544736.005,942107221.5998513
ssa,1994,1740.7400925782604,558091.402,971492078.7846111
ssa,1995,1784.4680063286607,573212.938,1022880148.6746541
ssa,1996,1855.838267923918,588729.2289999999,1092586232.6235435
ssa,1997,1907.4242522675231,603918.423,1151928646.4213567
ssa,1998,1937.409539805345,619399.76,1200031003.9771411
ssa,1999,1961.3822533371444,635794.386,1247035825.4717863
ssa,2000,2009.1904885117979,652476.09,1310948754.0093677
ssa,2001,2084.621190314564,669767.227,1396210953.9824247
ssa,2002,2185.9835877377072,687683.735,1503265358.2641668
ssa,2003,2266.1445051320507,705990.5700000001,1599876650.8805447
ssa,2004,2383.790564852562,724785.547,1727736948.4801033
ssa,2005,2506.6392020383814,744166.6259999999,1865357237.5802345
ssa,2006,2641.4071472180535,764346.064,2018949156.3975878
ssa,2007,2803.420222889413,785367.279,2201714512.3442316
ssa,2008,2939.192959222162,807029.097,2372014239.789819
ssa,2009,3024.3447749242123,829519.725,2508753646.0003195
ssa,2010,3204.6519754144642,852582.679,2732230766.461506
ssa,2011,3333.0748574416652,876331.084,2920877102.875
ssa,2012,3372.7438229091695,900722.825,3037907344.1720467
ssa,2013,3437.1911438124503,925644.229,3181616146.239904
ssa,2014,3509.8589545871523,951419.078,3339346770.483352
ssa,2015,3523.814701198594,977663.9890000001,3445106737.2706604
ssa,2016,3477.273222593957,1004367.691,3492460877.5528216
ssa,2017,3474.0272595819733,1032020.598,3585267689.902089
ssa,2018,3480.8082824585645,1059933.536,3689425430.964393
ssa,2019,3488.1552648618067,1088045.9410966393,3795273177.8477616
ssa,2020,3335.9871695138195,1116788.846380221,3725593262.580557
ssa,2021,3398.57847954257,1145655.381653007,3893599725.058039
ssa,2022,3436.5957149164883,1174709.2794003524,4037000875.8598866
us,1900,8037.571200000001,76391.0,613998101.5392001
us,1901,8770.3632,77888.0,683106048.9216
us,1902,8684.228000000001,79469.0,690126914.932
us,1903,8941.348,80946.0,723766355.208
us,1904,8663.6584,82485.0,714621863.1240001
us,1905,9121.332,84147.0,767532723.804
us,1906,9980.1128,85770.0,855994274.8560001
us,1907,9950.544,87339.0,869070562.416
us,1908,8975.976073471576,89055.0,799355549.2230113
us,1909,9798.118165962505,90845.0,890110044.7868638
us,1910,9636.78272182369,92767.0,893975422.7554183
us,1911,9735.889276162254,94234.0,917451790.0498738
us,1912,9976.567052540477,95703.0,954787396.6292813
us,1913,10107.969407089222,97606.0,986598461.9483505
us,1914,9096.371975724021,99505.0,905134493.4444188
us,1915,9164.17677403762,100941.0,925041167.7481314
us,1916,10222.31985087294,102364.0,1046397549.2147577
us,1917,9769.078001020385,103817.0,1014196370.8319334
us,1918,10471.305782318592,104958.0,1099047312.3005948
us,1919,10449.780270189627,105473.0,1102169674.4377105
us,1920,10152.92710876304,106881.0,1085155002.3117025
us,1921,9674.880487572922,108964.0,1054213677.4478959
us,1922,10009.71527703613,110484.0,1105913382.6680598
us,1923,11071.242977955602,112387.0,1244263784.5634964
us,1924,11126.712983463249,114558.0,1274653985.9595828
us,1925,11149.772026621313,116284.0,1296540090.3436327
us,1926,11647.767778146148,117857.0,1372770967.0289705
us,1927,11532.397899064365,119502.0,1378144613.7339897
us,1928,11451.068960239278,120971.0,1385247263.1891057
us,1929,11954.235345750252,122245.0,1461345499.8412397
us,1930,10694.982075282736,123668.0,1322627043.2860653
us,1931,9930.963393975506,124633.0,1237725760.6813493
us,1932,8380.50437668054,125436.0,1051216946.9933001
us,1933,8048.224515824326,126180.0,1015524969.4067135
us,1934,8667.091848719567,126978.0,1100529988.7667131
us,1935,9680.838642745883,127859.0,1237782348.0228457
us,1936,10568.012351747955,128681.0,1359902397.4352787
