region,year,agegrp,pop_thousands,series
china,1972,75-79,5183.862,estimate
china,1972,80-84,2073.931,estimate
china,1972,85-89,561.996,estimate
china,1972,90-94,86.617,estimate
china,1972,95-99,4.584,estimate
china,1973,0-4,139767.561,estimate
china,1973,10-14,90449.37,estimate
china,1973,100+,0.094,estimate
china,1973,15-19,98654.518,estimate
china,1973,20-24,84408.024,estimate
china,1973,25-29,59163.603,estimate
china,1973,30-34,50665.544,estimate
china,1973,35-39,49736.575,estimate
china,1973,40-44,44264.075,estimate
china,1973,45-49,38339.482,estimate
china,1973,5-9,131762.045,estimate
china,1973,50-54,32293.056,estimate
china,1973,55-59,27452.58,estimate
china,1973,60-64,21479.92,estimate
china,1973,65-69,16012.004,estimate
china,1973,70-74,10128.914,estimate
china,1973,75-79,5359.99,estimate
china,1973,80-84,2190.167,estimate
china,1973,85-89,597.543,estimate
china,1973,90-94,93.331,estimate
china,1973,95-99,4.825,estimate
china,1974,0-4,136031.343,estimate
china,1974,10-14,101019.428,estimate
china,1974,100+,0.093,estimate
china,1974,15-19,95893.49,estimate
china,1974,20-24,89012.092,estimate
china,1974,25-29,62818.248,estimate
china,1974,30-34,51164.673,estimate
china,1974,35-39,49511.625,estimate
china,1974,40-44,45446.214,estimate
china,1974,45-49,39099.815,estimate
china,1974,5-9,132161.869,estimate
china,1974,50-54,33286.061,estimate
china,1974,55-59,27688.295,estimate
china,1974,60-64,22136.497,estimate
china,1974,65-69,16403.921,estimate
china,1974,70-74,10671.879,estimate
china,1974,75-79,5531.114,estimate
china,1974,80-84,2322.422,estimate
china,1974,85-89,638.619,estimate
china,1974,90-94,99.051,estimate
china,1974,95-99,5.275,estimate
china,1975,0-4,130191.414,estimate
china,1975,10-14,112126.024,estimate
china,1975,100+,0.1,estimate
china,1975,15-19,90659.341,estimate
china,1975,20-24,92975.612,estimate
china,1975,25-29,67412.06,estimate
china,1975,30-34,52039.871,estimate
china,1975,35-39,49329.869,estimate
china,1975,40-44,46496.978,estimate
china,1975,45-49,39819.817,estimate
china,1975,5-9,133930.225,estimate
china,1975,50-54,34246.662,estimate
china,1975,55-59,28133.805,estimate
china,1975,60-64,22815.953,estimate
china,1975,65-69,16794.474,estimate
china,1975,70-74,11173.286,estimate
china,1975,75-79,5747.499,estimate
china,1975,80-84,2466.645,estimate
china,1975,85-89,674.476,estimate
china,1975,90-94,104.289,estimate
china,1975,95-99,5.986,estimate
china,1976,0-4,123245.271,estimate
china,1976,10-14,123544.798,estimate
china,1976,100+,0.124,estimate
china,1976,15-19,85256.125,estimate
china,1976,20-24,95559.988,estimate
china,1976,25-29,72375.745,estimate
china,1976,30-34,53259.54,estimate
china,1976,35-39,49453.356,estimate
china,1976,40-44,47472.271,estimate
china,1976,45-49,40756.439,estimate
china,1976,5-9,135487.286,estimate
china,1976,50-54,34927.543,estimate
china,1976,55-59,28772.761,estimate
china,1976,60-64,23529.678,estimate
china,1976,65-69,17093.179,estimate
china,1976,70-74,11589.555,estimate
china,1976,75-79,6053.47,estimate
china,1976,80-84,2613.03,estimate
china,1976,85-89,708.205,estimate
china,1976,90-94,111.035,estimate
