region,year,lu,lp,ls,lh,cov_pop,source
oecd-ex-us,1930,20.643212308702587,68.97053083588567,8.656383933839184,1.6891477998553246,194919.0,leelee
oecd-ex-us,1935,17.003651437643324,70.68554712765332,10.277092275729602,2.0418533545010877,204084.0,leelee
oecd-ex-us,1940,14.197905401349297,71.58395433996593,11.840096140969814,2.3355523026270224,216557.0,leelee
oecd-ex-us,1945,11.988724263451259,71.62371838622833,13.680131194782543,2.6975566867629777,210984.0,leelee
oecd-ex-us,1950,9.898544560377482,71.58375179991583,15.496527768547441,3.0274770164595375,225705.0,leelee
oecd-ex-us,1955,8.15031745300984,70.09148589772029,18.234980517550945,3.528398756136657,238933.0,leelee
oecd-ex-us,1960,8.100942719012625,67.00771903245379,20.80603308440052,4.0831393296661025,252143.0,leelee
oecd-ex-us,1965,7.078956181970415,64.90927465282753,23.274896093414096,4.752781905544953,265142.0,leelee
oecd-ex-us,1970,6.055344970179216,61.42307257908792,26.386801980522677,6.167474396388716,274473.0,leelee
oecd-ex-us,1975,5.162900985926196,54.94378562496114,30.79992987280377,9.100394508660536,289474.0,leelee
oecd-ex-us,1980,4.307705344772549,48.16212356063673,35.93037414395114,11.605793653144303,303867.0,leelee
oecd-ex-us,1985,4.675161187577502,40.82904128566614,41.056444874621576,13.458761337246159,323381.0,leelee
oecd-ex-us,1990,4.230268082181318,32.2715678959397,47.02489586332098,16.453085618269306,340418.0,leelee
oecd-ex-us,1995,3.3407875882918163,24.49766634262563,52.36075769410151,19.780485892976554,355922.0,leelee
oecd-ex-us,2000,2.5982689884138495,17.771924927163088,55.822393658106925,23.78625733450776,368975.0,leelee
oecd-ex-us,2005,1.56776955119485,12.51826178143234,58.013815200365585,27.92702973984569,378583.0,leelee
oecd-ex-us,2010,0.9656439371271118,9.386964881833627,57.32216683015422,32.302031321959454,384331.0,leelee
russia,1870,96.2,3.5,0.2,0.1,31729.0,leelee
russia,1875,95.6,4.0,0.3,0.1,34087.0,leelee
russia,1880,94.7,4.9,0.3,0.1,37154.0,leelee
russia,1885,93.7,5.7,0.5,0.10000000000000002,41634.0,leelee
russia,1890,92.8,6.5,0.6,0.1,45366.0,leelee
russia,1895,91.8,7.4,0.7,0.1,36205.0,leelee
russia,1900,90.5,8.5,0.9,0.1,51314.0,leelee
russia,1905,88.6,10.1,1.2,0.1,55330.0,leelee
russia,1910,84.8,13.5,1.5,0.2,61508.0,leelee
russia,1915,79.6,18.2,1.9,0.3,65077.0,leelee
russia,1920,72.0,25.3,2.3,0.4,60268.0,leelee
russia,1925,63.39999999999999,32.9,3.1000000000000005,0.7,55498.0,leelee
russia,1930,53.7,41.3,4.0,1.0,60835.0,leelee
russia,1935,44.2,48.5,5.8,1.5,66413.0,leelee
russia,1940,34.8,55.3,7.8,2.1,72232.0,leelee
russia,1945,26.2,58.0,12.9,2.9,58736.0,leelee
russia,1950,17.8,61.0,17.8,3.5,45289.0,leelee
russia,1955,11.7,59.8,24.4,4.2,52368.0,leelee
russia,1960,9.4,57.9,28.1,4.6,57118.0,leelee
russia,1965,7.3,50.3,36.8,5.6,63411.0,leelee
russia,1970,5.8,43.7,43.3,7.2,63646.0,leelee
russia,1975,5.6,34.2,48.8,11.3,66032.0,leelee
russia,1980,4.3,25.5,52.8,17.4,69862.0,leelee
russia,1985,2.9,18.1,53.0,26.0,75762.0,leelee
russia,1990,2.5,12.3,47.4,37.8,79403.0,leelee
russia,1995,1.3,6.4,47.3,45.0,77860.0,leelee
russia,2000,0.3,2.6,40.2,56.800000000000004,78339.0,leelee
russia,2005,0.3,1.5,36.8,61.3,77296.0,leelee
russia,2010,0.4,1.2,31.2,67.2,80890.0,leelee
seasia,1870,99.16285807824522,0.7767556064822393,0.051759698805041734,0.0,18327.0,leelee
seasia,1875,99.00069980078665,0.929509117842366,0.06768657097614547,0.0,19577.0,leelee
