region,year,agefrom,ageto,lu,lp,ls,lh,cov_pop,source
oecd-ex-us,2015,35,44,0.9541487493131806,5.630662048838487,52.133755032922295,41.291107918464405,111019.0,bl-v3
oecd-ex-us,2015,45,54,1.1260684063307722,8.240150037177354,58.69005948376588,31.946424866338567,112972.0,bl-v3
oecd-ex-us,2015,55,64,1.544166184423203,14.257999221758828,58.214686308941786,25.98225250932892,100226.0,bl-v3
russia,1950,15,24,11.337076190476191,37.6672346031746,47.792001587301584,3.1968898412698414,31500.0,bl-v3
russia,1950,25,34,13.43498055260898,46.76886649492347,34.277080870839015,5.516446936404505,19797.0,bl-v3
russia,1950,35,44,19.019460163319355,65.2763716618848,12.73413418671375,3.097817700286912,22655.0,bl-v3
russia,1950,45,54,19.82242067851373,69.49888142164781,8.234974474959612,2.4497053311793215,15475.0,bl-v3
russia,1950,55,64,34.86917711598746,57.97145278213167,5.660155760188088,1.4971865203761754,10208.0,bl-v3
russia,1955,15,24,9.707117191062471,30.98509439124487,56.114229822161434,3.193118407052743,32895.0,bl-v3
russia,1955,25,34,7.66785529807182,47.13786980364408,39.34797452679993,5.85531682292588,28265.0,bl-v3
russia,1955,35,44,18.963560005832885,56.5430496281534,20.6292587371798,3.9898386234384873,20573.0,bl-v3
russia,1955,45,54,19.17574342629482,68.11729349269588,10.001722709163346,2.6959532536520587,18825.0,bl-v3
russia,1955,55,64,20.353969011800736,70.81856319250517,6.869270336005766,1.9557787586703899,11101.0,bl-v3
russia,1960,15,24,5.991863490062049,27.830728008759994,62.1794475229784,3.9915094402229823,30137.0,bl-v3
russia,1960,25,34,5.354833205521472,48.05821255112475,40.58603303936605,6.001570168711656,31296.0,bl-v3
russia,1960,35,44,13.559779419308507,47.191277316097256,33.79351492767005,5.453292295065148,19494.0,bl-v3
russia,1960,45,54,19.10212925455138,64.68933975881176,13.036588909065513,3.171863388741445,21477.0,bl-v3
russia,1960,55,64,19.93875209441247,69.23077511473738,8.352797406570993,2.4803540467691416,13727.0,bl-v3
russia,1965,15,24,3.995813971204387,14.606963510322236,73.70717757294126,7.689389045478785,26254.0,bl-v3
russia,1965,25,34,2.51439582052858,36.15565980331899,53.12107652120468,8.20909864781807,32540.0,bl-v3
russia,1965,35,44,7.847321169997104,46.068864031277144,39.96139986967854,6.118372067767159,27624.0,bl-v3
russia,1965,45,54,19.359238727609632,56.95760294420425,19.867878319950584,3.881558575252213,19428.0,bl-v3
russia,1965,55,64,19.552896266554804,68.98572901060706,8.965906394199076,2.4863660334392046,16687.0,bl-v3
russia,1970,15,24,1.2297132530120483,13.244044879518073,80.56611054216867,4.986874698795181,33200.0,bl-v3
russia,1970,25,34,1.208980484522207,26.633852960969044,62.10925538358009,10.073213660834456,29720.0,bl-v3
russia,1970,35,44,5.229044337238686,41.1019418463457,45.76739621279249,7.903120343933577,30471.0,bl-v3
russia,1970,45,54,14.314791689211123,46.37133318904881,33.751009089925326,5.565443674926956,18482.0,bl-v3
russia,1970,55,64,19.62018505897772,66.62796539973787,11.074837221494104,2.6767659239842727,19075.0,bl-v3
russia,1975,15,24,1.511864050455501,8.853733551350931,79.52500739702562,10.11624698279218,38529.0,bl-v3
russia,1975,25,34,0.6466525554187191,11.686946582512315,72.90270974445812,14.762913716133006,25984.0,bl-v3
russia,1975,35,44,3.028735058494405,34.052898969989826,50.54077028229908,12.378981434384537,31456.0,bl-v3
russia,1975,45,54,9.079818271305797,42.95102866012948,39.74086131829024,8.228387915041836,26413.0,bl-v3
russia,1975,55,64,23.38845318782309,54.13630614589316,18.1084089603676,4.36675186674325,17410.0,bl-v3
russia,1980,15,24,1.6395174359903693,4.796734667460584,78.66548010459006,14.897866518238539,38627.0,bl-v3
